periodo_id,mes,ano,ano_mes,ordem,faturamento_ecologix,faturamento_logitrans,combustivel_ecologix,combustivel_logitrans,manutencao_ecologix,manutencao_logitrans,co2_ecologix,co2_logitrans
202501,Jan,2025,2025-01,1,251826,239235,9525,38628,11800,22600,0.93,9.77
202502,Fev,2025,2025-02,2,257127,244271,9465,38474,11800,22600,0.9,9.73
202503,Mar,2025,2025-03,3,261880,248786,9187,38320,11800,22600,0.88,9.69
202504,Abr,2025,2025-04,4,267520,254144,9185,38165,11800,22600,0.85,9.65
202505,Mai,2025,2025-05,5,273440,259768,8903,38010,11800,22600,0.82,9.61
202506,Jun,2025,2025-06,6,279700,265715,8963,37856,11800,22600,0.8,9.57
202507,Jul,2025,2025-07,7,286300,271985,8674,37702,11800,22600,0.77,9.53
202508,Ago,2025,2025-08,8,293347,278680,8068,37547,11800,22600,0.75,9.49
202509,Set,2025,2025-09,9,300640,285608,7561,37392,11800,22600,0.72,9.46
202510,Out,2025,2025-10,10,308480,293056,7133,37238,11800,22600,0.7,9.42
202511,Nov,2025,2025-11,11,316800,300960,6877,37083,11800,22600,0.67,9.38
202512,Dez,2025,2025-12,12,325660,309377,6775,36929,11800,22600,0.65,9.34
