periodo_id,mes,ano,co2_evitado_toneladas,consumo_kwh_km,frota_eletrica_pct,modais_sustentaveis_pct,custo_energia_rota_brl,emissao_co2_por_entrega_g
202501,Jan,2025,42.5,0.22,72,18,2.80,185
202502,Fev,2025,44.8,0.21,73,19,2.75,178
202503,Mar,2025,48.2,0.20,74,20,2.70,172
202504,Abr,2025,47.5,0.20,75,21,2.65,168
202505,Mai,2025,52.1,0.19,76,22,2.60,162
202506,Jun,2025,54.8,0.19,77,23,2.55,158
202507,Jul,2025,56.3,0.18,78,24,2.52,154
202508,Ago,2025,58.9,0.18,79,25,2.48,150
202509,Set,2025,61.2,0.17,80,26,2.45,146
202510,Out,2025,63.5,0.17,81,27,2.42,142
202511,Nov,2025,66.0,0.16,82,28,2.38,138
202512,Dez,2025,68.4,0.16,83,29,2.35,134
